promo_id,sku_id,retailer_id,start_date,end_date,promo_type,discount_pct,incremental_units,incremental_dollars,lift_pct
PRM-000023,SKU-0001,RET-003,2024-03-09,2024-03-15,TPR,15.0,4737,12736.08,61.7
PRM-000024,SKU-0001,RET-002,2024-03-09,2024-03-15,TPR,15.0,2495,6054.17,49.6
PRM-000025,SKU-0001,RET-009,2024-04-27,2024-05-03,TPR,10.0,3510,9298.73,33.1
PRM-000026,SKU-0001,RET-003,2024-04-27,2024-05-03,TPR,10.0,2539,6814.92,34.0
PRM-000027,SKU-0001,RET-002,2024-04-27,2024-05-03,TPR,10.0,1675,4596.24,35.6
PRM-000028,SKU-0001,RET-005,2024-04-27,2024-05-03,TPR,10.0,836,2364.94,38.2
PRM-000029,SKU-0001,RET-009,2024-05-25,2024-05-31,TPR,20.0,7376,13356.02,51.1
PRM-000030,SKU-0001,RET-003,2024-05-25,2024-05-31,TPR,20.0,5515,10423.61,53.6
PRM-000031,SKU-0001,RET-010,2024-05-25,2024-05-31,TPR,20.0,2266,5516.81,79.9
PRM-000032,SKU-0001,RET-007,2024-05-25,2024-05-31,TPR,20.0,3705,7080.49,64.6
PRM-000033,SKU-0001,RET-006,2024-07-27,2024-08-02,TPR,10.0,224,575.14,27.5
PRM-000034,SKU-0001,RET-003,2024-07-27,2024-08-02,TPR,10.0,2232,6534.89,41.8
PRM-000035,SKU-0001,RET-007,2024-07-27,2024-08-02,TPR,10.0,1405,3224.78,32.1
PRM-000036,SKU-0001,RET-009,2024-12-21,2024-12-27,Display,20.0,9534,23097.07,79.0
PRM-000037,SKU-0001,RET-006,2024-12-21,2024-12-27,Display,20.0,592,1291.36,58.1
PRM-000038,SKU-0001,RET-006,2024-12-28,2025-01-03,TPR,30.0,784,1575.81,107.1
PRM-000039,SKU-0002,RET-009,2023-02-11,2023-02-17,Display,10.0,2270,6132.89,36.0
PRM-000040,SKU-0002,RET-011,2023-02-11,2023-02-17,Display,10.0,463,1105.06,28.5
PRM-000041,SKU-0002,RET-008,2023-02-11,2023-02-17,Display,10.0,719,1739.11,36.5
PRM-000042,SKU-0002,RET-010,2023-02-11,2023-02-17,Display,10.0,637,1824.62,41.7
PRM-000043,SKU-0002,RET-004,2023-02-25,2023-03-03,TPR,25.0,2885,5712.52,85.1
PRM-000044,SKU-0002,RET-011,2023-02-25,2023-03-03,TPR,25.0,1635,3331.81,89.1
PRM-000045,SKU-0002,RET-008,2023-02-25,2023-03-03,TPR,25.0,2102,4131.07,103.6
PRM-000046,SKU-0002,RET-010,2023-02-25,2023-03-03,TPR,25.0,1701,3710.58,101.0
PRM-000047,SKU-0002,RET-001,2023-02-25,2023-03-03,TPR,25.0,9306,19603.6,104.6
PRM-000048,SKU-0002,RET-009,2023-03-11,2023-03-17,TPR,20.0,4240,8777.99,61.9
PRM-000049,SKU-0002,RET-006,2023-03-11,2023-03-17,TPR,20.0,351,688.97,52.5
PRM-000050,SKU-0002,RET-004,2023-03-11,2023-03-17,TPR,20.0,1844,3761.57,60.6
PRM-000051,SKU-0002,RET-011,2023-03-11,2023-03-17,TPR,20.0,1229,2906.8,78.5
PRM-000052,SKU-0002,RET-007,2023-03-11,2023-03-17,TPR,20.0,1994,3911.61,69.8
PRM-000053,SKU-0002,RET-008,2023-03-11,2023-03-17,TPR,20.0,1024,1751.81,56.0
PRM-000054,SKU-0002,RET-004,2023-03-18,2023-03-24,Feature & Display,15.0,1558,3150.83,39.0
PRM-000055,SKU-0002,RET-011,2023-03-18,2023-03-24,Feature & Display,15.0,834,1830.34,43.6
PRM-000056,SKU-0002,RET-007,2023-03-18,2023-03-24,Feature & Display,15.0,1625,3407.87,49.8
PRM-000057,SKU-0002,RET-002,2023-03-18,2023-03-24,Feature & Display,15.0,1998,5243.36,61.2
PRM-000058,SKU-0002,RET-001,2023-03-18,2023-03-24,Feature & Display,15.0,5979,14526.08,57.5
PRM-000059,SKU-0002,RET-009,2023-04-08,2023-04-14,TPR,15.0,3442,7560.89,43.6
PRM-000060,SKU-0002,RET-004,2023-04-08,2023-04-14,TPR,15.0,1227,2476.41,39.0
PRM-000061,SKU-0002,RET-002,2023-04-08,2023-04-14,TPR,15.0,1817,4234.31,47.9
PRM-000062,SKU-0002,RET-008,2023-04-08,2023-04-14,TPR,15.0,846,1485.64,37.9
PRM-000063,SKU-0002,RET-006,2023-04-15,2023-04-21,Feature,15.0,305,827.81,55.4
PRM-000064,SKU-0002,RET-008,2023-04-15,2023-04-21,Feature,15.0,1010,2280.85,56.6
PRM-000065,SKU-0002,RET-010,2023-04-15,2023-04-21,Feature,15.0,886,2116.26,50.1
PRM-000066,SKU-0002,RET-001,2023-04-15,2023-04-21,Feature,15.0,6013,14866.71,59.9
PRM-000067,SKU-0002,RET-009,2023-07-15,2023-07-21,Feature & Display,30.0,5525,8408.73,85.9
PRM-000068,SKU-0002,RET-007,2023-07-15,2023-07-21,Feature & Display,30.0,2656,4130.21,102.5
PRM-000069,SKU-0002,RET-009,2024-01-06,2024-01-12,TPR,10.0,2130,5105.38,28.7
PRM-000070,SKU-0002,RET-006,2024-01-06,2024-01-12,TPR,10.0,188,537.01,34.5
PRM-000071,SKU-0002,RET-011,2024-01-06,2024-01-12,TPR,10.0,531,1431.51,35.9
PRM-000072,SKU-0002,RET-007,2024-01-06,2024-01-12,TPR,10.0,835,1719.67,27.7
PRM-000073,SKU-0002,RET-008,2024-01-06,2024-01-12,TPR,10.0,534,1193.94,31.1
PRM-000074,SKU-0002,RET-006,2024-01-20,2024-01-26,Feature,20.0,296,629.17,57.8
PRM-000075,SKU-0002,RET-004,2024-01-20,2024-01-26,Feature,20.0,1798,3557.97,58.1
PRM-000076,SKU-0002,RET-011,2024-01-20,2024-01-26,Feature,20.0,946,2119.68,70.5
PRM-000077,SKU-0002,RET-002,2024-01-20,2024-01-26,Feature,20.0,2191,4995.39,72.8
PRM-000078,SKU-0002,RET-010,2024-01-20,2024-01-26,Feature,20.0,1140,2520.41,68.8
PRM-000079,SKU-0002,RET-009,2024-02-10,2024-02-16,Display,10.0,2829,7164.07,31.6
PRM-000080,SKU-0002,RET-011,2024-02-10,2024-02-16,Display,10.0,574,1364.65,28.4
PRM-000081,SKU-0002,RET-007,2024-02-10,2024-02-16,Display,10.0,1050,2434.3,34.1
PRM-000082,SKU-0002,RET-002,2024-02-10,2024-02-16,Display,10.0,1152,3160.82,37.4
PRM-000083,SKU-0002,RET-010,2024-02-10,2024-02-16,Display,10.0,692,1885.4,36.8
PRM-000084,SKU-0002,RET-006,2024-02-17,2024-02-23,TPR,15.0,240,513.09,38.1
PRM-000085,SKU-0002,RET-008,2024-02-17,2024-02-23,TPR,15.0,874,1688.16,42.9
PRM-000086,SKU-0002,RET-009,2024-02-24,2024-03-01,Feature,20.0,5461,11670.5,65.0
PRM-000087,SKU-0002,RET-011,2024-02-24,2024-03-01,Feature,20.0,1116,2580.67,74.9
PRM-000088,SKU-0002,RET-007,2024-02-24,2024-03-01,Feature,20.0,2340,4755.12,74.6
PRM-000089,SKU-0002,RET-001,2024-02-24,2024-03-01,Feature,20.0,7406,16628.55,78.3
PRM-000090,SKU-0002,RET-004,2024-04-13,2024-04-19,TPR,30.0,3305,5459.6,93.9
PRM-000091,SKU-0002,RET-002,2024-04-13,2024-04-19,TPR,30.0,3728,6004.41,91.2
PRM-000092,SKU-0002,RET-009,2024-05-11,2024-05-17,TPR,15.0,5332,14051.02,61.8
PRM-000093,SKU-0002,RET-002,2024-05-11,2024-05-17,TPR,15.0,1764,4006.57,45.9
PRM-000094,SKU-0002,RET-010,2024-05-11,2024-05-17,TPR,15.0,981,2353.01,50.4
PRM-000095,SKU-0002,RET-009,2024-07-06,2024-07-12,Display,25.0,7551,16515.82,101.6
PRM-000096,SKU-0002,RET-011,2024-07-06,2024-07-12,Display,25.0,1478,2986.14,87.9
PRM-000097,SKU-0002,RET-007,2024-07-06,2024-07-12,Display,25.0,2760,5276.81,100.3
PRM-000098,SKU-0002,RET-010,2024-07-06,2024-07-12,Display,25.0,1571,3069.55,83.4
PRM-000099,SKU-0002,RET-001,2024-07-06,2024-07-12,Display,25.0,8112,14556.62,79.4
PRM-000100,SKU-0002,RET-011,2024-09-07,2024-09-13,TPR,10.0,451,1164.73,32.8
PRM-000101,SKU-0002,RET-010,2024-09-07,2024-09-13,TPR,10.0,629,1726.59,37.4
PRM-000102,SKU-0002,RET-001,2024-09-07,2024-09-13,TPR,10.0,3182,8032.09,34.7
PRM-000103,SKU-0002,RET-002,2024-09-21,2024-09-27,TPR,15.0,2280,6019.1,62.0
PRM-000104,SKU-0002,RET-009,2024-10-12,2024-10-18,TPR,15.0,3038,7066.1,47.8
PRM-000105,SKU-0002,RET-007,2024-10-12,2024-10-18,TPR,15.0,1088,1993.52,40.5
PRM-000106,SKU-0002,RET-010,2024-10-12,2024-10-18,TPR,15.0,661,1493.98,45.6
PRM-000107,SKU-0002,RET-001,2024-10-12,2024-10-18,TPR,15.0,3363,7357.86,47.0
PRM-000108,SKU-0002,RET-009,2024-10-26,2024-11-01,TPR,15.0,3803,9697.47,57.1
PRM-000109,SKU-0002,RET-006,2024-10-26,2024-11-01,TPR,15.0,285,779.96,56.6
PRM-000110,SKU-0002,RET-010,2024-10-26,2024-11-01,TPR,15.0,645,1362.15,41.3
PRM-000111,SKU-0002,RET-011,2024-11-02,2024-11-08,Feature,10.0,463,1115.81,29.1
PRM-000112,SKU-0002,RET-007,2024-11-02,2024-11-08,Feature,10.0,857,1850.0,29.9
PRM-000113,SKU-0002,RET-002,2024-11-02,2024-11-08,Feature,10.0,1111,3084.3,38.4
PRM-000114,SKU-0002,RET-004,2024-11-09,2024-11-15,Feature & Display,25.0,2371,5251.19,104.3
PRM-000115,SKU-0002,RET-011,2024-11-09,2024-11-15,Feature & Display,25.0,961,1461.91,62.6
PRM-000116,SKU-0002,RET-008,2024-11-09,2024-11-15,Feature & Display,25.0,1454,2696.76,92.7
PRM-000117,SKU-0002,RET-010,2024-11-09,2024-11-15,Feature & Display,25.0,1472,3105.21,94.7
PRM-000118,SKU-0002,RET-001,2024-11-09,2024-11-15,Feature & Display,25.0,6622,9676.07,63.2
PRM-000119,SKU-0003,RET-008,2023-01-21,2023-01-27,TPR,30.0,1767,2890.04,100.1
PRM-000120,SKU-0003,RET-006,2023-01-21,2023-01-27,TPR,30.0,493,965.43,98.3
PRM-000121,SKU-0003,RET-007,2023-01-21,2023-01-27,TPR,30.0,2995,5064.96,106.6
PRM-000122,SKU-0003,RET-004,2023-01-21,2023-01-27,TPR,30.0,2858,5737.43,114.2
PRM-000123,SKU-0003,RET-011,2023-01-21,2023-01-27,TPR,30.0,1552,3245.33,122.7
PRM-000124,SKU-0003,RET-009,2023-03-18,2023-03-24,Display,10.0,3376,10189.13,41.3
PRM-000125,SKU-0003,RET-007,2023-03-18,2023-03-24,Display,10.0,1068,2710.37,36.8
PRM-000126,SKU-0003,RET-004,2023-03-18,2023-03-24,Display,10.0,1024,2878.87,34.8
PRM-000127,SKU-0003,RET-010,2023-03-18,2023-03-24,Display,10.0,626,1651.52,30.7
PRM-000128,SKU-0003,RET-011,2023-03-18,2023-03-24,Display,10.0,544,1357.46,28.1
PRM-000129,SKU-0003,RET-009,2023-04-15,2023-04-21,Feature,25.0,9871,22623.36,99.7
PRM-000130,SKU-0003,RET-007,2023-04-15,2023-04-21,Feature,25.0,3214,5500.66,76.6
PRM-000131,SKU-0003,RET-010,2023-04-15,2023-04-21,Feature,25.0,2117,4375.76,83.4
PRM-000132,SKU-0003,RET-008,2023-06-03,2023-06-09,Feature & Display,30.0,1830,3144.32,107.4
PRM-000133,SKU-0003,RET-011,2023-06-03,2023-06-09,Feature & Display,30.0,1249,1889.46,81.0
PRM-000134,SKU-0003,RET-008,2023-06-10,2023-06-16,TPR,20.0,1914,4278.31,79.1
PRM-000135,SKU-0003,RET-006,2023-06-10,2023-06-16,TPR,20.0,379,867.85,59.1
PRM-000136,SKU-0003,RET-007,2023-06-10,2023-06-16,TPR,20.0,2830,5975.7,72.2
PRM-000137,SKU-0003,RET-010,2023-06-10,2023-06-16,TPR,20.0,1596,3686.69,67.4
PRM-000138,SKU-0003,RET-001,2023-06-24,2023-06-30,Display,30.0,12829,23878.98,109.8
PRM-000139,SKU-0003,RET-010,2023-06-24,2023-06-30,Display,30.0,2305,4750.86,119.6
PRM-000140,SKU-0003,RET-008,2023-10-14,2023-10-20,Display,30.0,1621,1989.48,75.1
PRM-000141,SKU-0003,RET-001,2023-10-14,2023-10-20,Display,30.0,10744,21502.36,124.5
PRM-000142,SKU-0003,RET-009,2023-10-14,2023-10-20,Display,30.0,6470,12751.45,110.9
PRM-000143,SKU-0003,RET-003,2023-10-14,2023-10-20,Display,30.0,4226,8819.71,122.3
PRM-000144,SKU-0003,RET-007,2023-12-09,2023-12-15,TPR,25.0,3217,5586.22,78.1
PRM-000145,SKU-0003,RET-001,2024-01-06,2024-01-12,TPR,25.0,10021,21561.88,97.4
PRM-000146,SKU-0003,RET-007,2024-01-06,2024-01-12,TPR,25.0,3187,6293.15,95.8
PRM-000147,SKU-0003,RET-003,2024-01-06,2024-01-12,TPR,25.0,4239,9363.29,93.0
PRM-000148,SKU-0003,RET-011,2024-01-06,2024-01-12,TPR,25.0,1589,3027.47,74.7
PRM-000149,SKU-0003,RET-008,2024-01-13,2024-01-19,Feature,15.0,1213,2837.14,54.1
PRM-000150,SKU-0003,RET-001,2024-01-13,2024-01-19,Feature,15.0,5943,14745.76,53.4
PRM-000151,SKU-0003,RET-011,2024-01-13,2024-01-19,Feature,15.0,900,2326.12,52.2
PRM-000152,SKU-0003,RET-008,2024-01-27,2024-02-02,TPR,30.0,2171,3902.11,115.4
PRM-000153,SKU-0003,RET-001,2024-01-27,2024-02-02,TPR,30.0,9375,14397.83,86.3
PRM-000154,SKU-0003,RET-009,2024-01-27,2024-02-02,TPR,30.0,8572,17515.67,117.7
PRM-000155,SKU-0003,RET-003,2024-01-27,2024-02-02,TPR,30.0,5018,7916.13,84.2
PRM-000156,SKU-0003,RET-004,2024-01-27,2024-02-02,TPR,30.0,2679,4158.98,82.9
PRM-000157,SKU-0003,RET-008,2024-04-13,2024-04-19,TPR,20.0,1502,3431.46,83.1
PRM-000158,SKU-0003,RET-003,2024-04-13,2024-04-19,TPR,20.0,3134,7717.39,75.9
PRM-000159,SKU-0003,RET-004,2024-04-13,2024-04-19,TPR,20.0,1612,3758.5,68.5
PRM-000160,SKU-0003,RET-008,2024-05-18,2024-05-24,Feature,10.0,843,2204.16,38.5
PRM-000161,SKU-0003,RET-008,2024-06-08,2024-06-14,TPR,30.0,2913,4786.67,100.7
PRM-000162,SKU-0003,RET-006,2024-06-08,2024-06-14,TPR,30.0,712,1251.85,86.8
PRM-000163,SKU-0003,RET-004,2024-06-08,2024-06-14,TPR,30.0,3756,6615.81,94.9
PRM-000164,SKU-0003,RET-010,2024-06-08,2024-06-14,TPR,30.0,2764,5750.12,121.6
PRM-000165,SKU-0003,RET-006,2024-06-15,2024-06-21,Feature,20.0,407,980.11,63.8
PRM-000166,SKU-0003,RET-009,2024-06-15,2024-06-21,Feature,20.0,5391,12173.38,64.9
PRM-000167,SKU-0003,RET-011,2024-06-15,2024-06-21,Feature,20.0,964,1885.82,53.5
PRM-000168,SKU-0003,RET-009,2024-09-28,2024-10-04,TPR,20.0,6529,16706.25,82.4
PRM-000169,SKU-0003,RET-008,2024-10-05,2024-10-11,Feature & Display,25.0,1984,3737.57,86.6
PRM-000170,SKU-0003,RET-009,2024-10-05,2024-10-11,Feature & Display,25.0,6178,11290.62,71.1
PRM-000171,SKU-0003,RET-007,2024-10-05,2024-10-11,Feature & Display,25.0,2752,4834.45,79.3
PRM-000172,SKU-0003,RET-004,2024-10-05,2024-10-11,Feature & Display,25.0,2233,4194.92,73.4
PRM-000173,SKU-0003,RET-010,2024-10-05,2024-10-11,Feature & Display,25.0,1507,3307.24,92.0
PRM-000174,SKU-0003,RET-006,2024-10-12,2024-10-18,TPR,10.0,224,682.97,35.1
PRM-000175,SKU-0003,RET-003,2024-10-12,2024-10-18,TPR,10.0,2079,6160.35,39.3
PRM-000176,SKU-0003,RET-011,2024-10-12,2024-10-18,TPR,10.0,545,1566.05,36.5
PRM-000177,SKU-0003,RET-008,2024-10-26,2024-11-01,TPR,15.0,1051,2282.61,47.1
PRM-000178,SKU-0003,RET-006,2024-10-26,2024-11-01,TPR,15.0,420,1231.76,57.9
PRM-000179,SKU-0003,RET-001,2024-10-26,2024-11-01,TPR,15.0,5034,10885.71,42.4
PRM-000180,SKU-0003,RET-009,2024-10-26,2024-11-01,TPR,15.0,5198,13216.29,50.7
PRM-000181,SKU-0003,RET-007,2024-10-26,2024-11-01,TPR,15.0,1865,3868.43,44.6
PRM-000182,SKU-0003,RET-008,2024-11-23,2024-11-29,Feature,30.0,2152,3129.08,87.2
PRM-000183,SKU-0003,RET-009,2024-11-23,2024-11-29,Feature,30.0,8145,12724.58,83.4
PRM-000184,SKU-0003,RET-011,2024-11-23,2024-11-29,Feature,30.0,1969,4147.12,124.4
PRM-000185,SKU-0004,RET-009,2023-02-04,2023-02-10,Display,25.0,2996,5345.11,74.6
PRM-000186,SKU-0004,RET-001,2023-02-04,2023-02-10,Display,25.0,4510,8505.11,86.7
PRM-000187,SKU-0004,RET-002,2023-02-04,2023-02-10,Display,25.0,1245,2259.33,76.2
PRM-000188,SKU-0004,RET-004,2023-02-04,2023-02-10,Display,25.0,1193,2072.81,72.3
PRM-000189,SKU-0004,RET-011,2023-02-11,2023-02-17,TPR,30.0,971,1800.9,111.7
PRM-000190,SKU-0004,RET-009,2023-02-11,2023-02-17,TPR,30.0,3841,6438.71,96.7
PRM-000191,SKU-0004,RET-002,2023-02-11,2023-02-17,TPR,30.0,1381,2033.22,83.9
PRM-000192,SKU-0004,RET-010,2023-02-11,2023-02-17,TPR,30.0,1001,1832.22,109.3
PRM-000193,SKU-0004,RET-004,2023-02-11,2023-02-17,TPR,30.0,1374,2545.99,111.5
PRM-000194,SKU-0004,RET-006,2023-05-13,2023-05-19,Display,25.0,262,469.09,68.5
PRM-000195,SKU-0004,RET-001,2023-05-13,2023-05-19,Display,25.0,4682,8428.41,80.8
PRM-000196,SKU-0004,RET-010,2023-05-13,2023-05-19,Display,25.0,941,1873.85,87.2
PRM-000197,SKU-0004,RET-004,2023-05-13,2023-05-19,Display,25.0,1254,1972.21,65.1
PRM-000198,SKU-0004,RET-011,2023-06-17,2023-06-23,Feature & Display,10.0,263,661.12,31.7
PRM-000199,SKU-0004,RET-010,2023-06-17,2023-06-23,Feature & Display,10.0,276,642.75,27.9
PRM-000200,SKU-0004,RET-004,2023-06-17,2023-06-23,Feature & Display,10.0,458,1172.37,32.8
PRM-000201,SKU-0004,RET-010,2023-07-01,2023-07-07,TPR,25.0,619,1136.13,77.3
PRM-000202,SKU-0004,RET-004,2023-07-01,2023-07-07,TPR,25.0,1035,1822.95,73.4
PRM-000203,SKU-0004,RET-006,2023-07-15,2023-07-21,TPR,25.0,195,329.17,64.5
PRM-000204,SKU-0004,RET-011,2023-07-15,2023-07-21,TPR,25.0,560,993.97,74.1
PRM-000205,SKU-0004,RET-009,2023-07-15,2023-07-21,TPR,25.0,3360,7309.92,102.4
PRM-000206,SKU-0004,RET-008,2023-10-07,2023-10-13,Feature & Display,20.0,576,1000.31,57.7
PRM-000207,SKU-0004,RET-011,2023-10-07,2023-10-13,Feature & Display,20.0,544,1271.48,78.0
PRM-000208,SKU-0004,RET-001,2023-10-07,2023-10-13,Feature & Display,20.0,3130,7038.61,80.2
PRM-000209,SKU-0004,RET-002,2023-10-07,2023-10-13,Feature & Display,20.0,1117,2624.42,78.9
PRM-000210,SKU-0004,RET-004,2023-10-07,2023-10-13,Feature & Display,20.0,1006,2371.97,79.5
PRM-000211,SKU-0004,RET-006,2023-11-04,2023-11-10,Feature & Display,25.0,249,479.76,74.4
PRM-000212,SKU-0004,RET-008,2023-11-04,2023-11-10,Feature & Display,25.0,932,1623.61,84.8
PRM-000213,SKU-0004,RET-007,2023-11-04,2023-11-10,Feature & Display,25.0,1260,1832.25,68.4
PRM-000214,SKU-0004,RET-010,2023-11-04,2023-11-10,Feature & Display,25.0,795,1674.87,96.0
PRM-000215,SKU-0004,RET-004,2023-11-04,2023-11-10,Feature & Display,25.0,1338,2636.24,85.7
PRM-000216,SKU-0004,RET-009,2024-01-20,2024-01-26,Feature & Display,20.0,3207,7664.22,81.9
PRM-000217,SKU-0004,RET-006,2024-02-10,2024-02-16,TPR,30.0,349,740.74,123.5
PRM-000218,SKU-0004,RET-011,2024-02-10,2024-02-16,TPR,30.0,769,1239.89,92.3
PRM-000219,SKU-0004,RET-001,2024-02-10,2024-02-16,TPR,30.0,4802,6611.79,82.7
PRM-000220,SKU-0004,RET-002,2024-02-10,2024-02-16,TPR,30.0,1676,2604.14,88.6
PRM-000221,SKU-0004,RET-007,2024-02-10,2024-02-16,TPR,30.0,1556,2106.46,87.7
PRM-000222,SKU-0004,RET-004,2024-02-10,2024-02-16,TPR,30.0,1441,2244.95,88.8
PRM-000223,SKU-0004,RET-001,2024-02-24,2024-03-01,Feature,10.0,1906,4764.03,34.7
PRM-000224,SKU-0004,RET-004,2024-02-24,2024-03-01,Feature,10.0,520,1246.89,29.2
PRM-000225,SKU-0004,RET-006,2024-03-02,2024-03-08,Feature,15.0,218,600.03,58.6
PRM-000226,SKU-0004,RET-008,2024-03-02,2024-03-08,Feature,15.0,648,1406.21,53.0
PRM-000227,SKU-0004,RET-009,2024-03-02,2024-03-08,Feature,15.0,2778,7303.46,62.9
PRM-000228,SKU-0004,RET-002,2024-03-02,2024-03-08,Feature,15.0,1168,3061.36,62.3
PRM-000229,SKU-0004,RET-007,2024-03-02,2024-03-08,Feature,15.0,1072,2419.69,59.1
PRM-000230,SKU-0004,RET-006,2024-05-25,2024-05-31,Feature & Display,15.0,161,414.82,50.5
PRM-000231,SKU-0004,RET-007,2024-05-25,2024-05-31,Feature & Display,15.0,1039,2262.08,54.6
PRM-000232,SKU-0004,RET-011,2024-07-13,2024-07-19,TPR,20.0,542,1231.49,73.8
PRM-000233,SKU-0004,RET-002,2024-07-13,2024-07-19,TPR,20.0,906,1624.16,52.2
PRM-000234,SKU-0004,RET-004,2024-07-13,2024-07-19,TPR,20.0,1011,2346.78,76.9
PRM-000235,SKU-0004,RET-006,2024-07-20,2024-07-26,Feature & Display,30.0,264,382.78,77.3
PRM-000236,SKU-0004,RET-008,2024-07-20,2024-07-26,Feature & Display,30.0,1189,2000.1,115.2
PRM-000237,SKU-0004,RET-011,2024-07-20,2024-07-26,Feature & Display,30.0,1088,1991.89,109.4
PRM-000238,SKU-0004,RET-006,2024-09-28,2024-10-04,Feature,10.0,86,202.48,25.6
PRM-000239,SKU-0004,RET-001,2024-09-28,2024-10-04,Feature,10.0,1537,3687.79,32.0
PRM-000240,SKU-0004,RET-007,2024-09-28,2024-10-04,Feature,10.0,461,994.87,30.3
PRM-000241,SKU-0005,RET-008,2023-01-21,2023-01-27,Feature & Display,15.0,1050,2367.33,51.6
PRM-000242,SKU-0005,RET-006,2023-02-04,2023-02-10,TPR,25.0,548,1334.42,99.1
PRM-000243,SKU-0005,RET-004,2023-02-04,2023-02-10,TPR,25.0,1970,3160.97,63.2
PRM-000244,SKU-0005,RET-001,2023-02-04,2023-02-10,TPR,25.0,8182,14591.15,74.5
PRM-000245,SKU-0005,RET-010,2023-02-04,2023-02-10,TPR,25.0,1376,2775.11,82.0
PRM-000246,SKU-0005,RET-011,2023-02-04,2023-02-10,TPR,25.0,1672,3874.78,104.8
PRM-000247,SKU-0005,RET-006,2023-02-18,2023-02-24,TPR,15.0,262,711.13,50.9
PRM-000248,SKU-0005,RET-004,2023-02-18,2023-02-24,TPR,15.0,1118,2435.07,40.6
PRM-000249,SKU-0005,RET-008,2023-02-18,2023-02-24,TPR,15.0,998,2082.83,45.2
PRM-000250,SKU-0005,RET-010,2023-02-18,2023-02-24,TPR,15.0,1062,2844.86,58.0
PRM-000251,SKU-0005,RET-011,2023-02-18,2023-02-24,TPR,15.0,717,1704.1,46.1
PRM-000252,SKU-0005,RET-004,2023-06-10,2023-06-16,TPR,25.0,2852,6612.68,105.0
PRM-000253,SKU-0005,RET-008,2023-06-10,2023-06-16,TPR,25.0,1998,4114.18,104.5
PRM-000254,SKU-0005,RET-010,2023-06-10,2023-06-16,TPR,25.0,1728,3503.52,82.7
PRM-000255,SKU-0005,RET-008,2023-06-17,2023-06-23,Feature & Display,10.0,633,1435.5,29.6
PRM-000256,SKU-0005,RET-001,2023-06-17,2023-06-23,Feature & Display,10.0,2550,5746.52,26.6
PRM-000257,SKU-0005,RET-006,2023-07-01,2023-07-07,Feature,30.0,479,762.71,80.2
PRM-000258,SKU-0005,RET-004,2023-07-01,2023-07-07,Feature,30.0,3008,5795.47,109.2
PRM-000259,SKU-0005,RET-008,2023-07-01,2023-07-07,Feature,30.0,1956,3520.53,118.3
PRM-000260,SKU-0005,RET-010,2023-07-01,2023-07-07,Feature,30.0,1995,4174.44,126.0
PRM-000261,SKU-0005,RET-006,2023-07-15,2023-07-21,Display,20.0,326,656.29,51.4
PRM-000262,SKU-0005,RET-001,2023-07-15,2023-07-21,Display,20.0,6787,12978.48,56.2
