batch_id,product_id,batch_number,manufacturing_date,release_date,expiry_date,batch_size,batch_size_unit,site_id,manufacturing_line,batch_status,disposition_date
BATCH-00015,4,BN-04-220116-15,2022-01-16,2022-02-15,2024-02-15,29486.0,kg,SITE-EU-01,Line-3,Released,2022-02-18
BATCH-00016,2,BN-02-220115-16,2022-01-15,2022-01-31,2024-01-31,25928.0,kg,SITE-EU-01,Line-3,Released,2022-02-04
BATCH-00017,2,BN-02-220125-17,2022-01-25,2022-02-14,2024-02-14,20471.0,units,SITE-US-01,Line-4,Released,2022-02-18
BATCH-00018,6,BN-06-220102-18,2022-01-02,2022-02-09,2024-02-09,23838.0,units,SITE-US-01,Line-4,Released,2022-02-13
BATCH-00019,4,BN-04-220110-19,2022-01-10,2022-01-29,2024-01-29,43427.0,kg,SITE-US-01,Line-2,Released,2022-01-29
BATCH-00020,2,BN-02-220106-20,2022-01-06,2022-02-02,2024-02-02,10678.0,L,SITE-EU-01,Line-1,Released,2022-02-07
BATCH-00021,2,BN-02-220127-21,2022-01-27,2022-02-19,2024-02-19,16605.0,units,SITE-EU-01,Line-1,Released,2022-02-19
BATCH-00022,6,BN-06-220113-22,2022-01-13,2022-02-16,2024-02-16,28386.0,kg,SITE-EU-01,Line-4,Released,2022-02-16
BATCH-00023,2,BN-02-220105-23,2022-01-05,2022-01-25,2024-01-25,30321.0,kg,SITE-EU-01,Line-3,Released,2022-01-29
BATCH-00024,4,BN-04-220109-24,2022-01-09,2022-02-16,2024-02-16,30741.0,L,SITE-EU-01,Line-1,Released,2022-02-17
BATCH-00025,4,BN-04-220105-25,2022-01-05,2022-02-13,2024-02-13,45031.0,L,SITE-EU-01,Line-2,Released,2022-02-13
BATCH-00026,4,BN-04-220109-26,2022-01-09,2022-02-15,2024-02-15,41782.0,L,SITE-AP-01,Line-3,Released,2022-02-17
BATCH-00027,8,BN-08-220123-27,2022-01-23,,,15258.0,L,SITE-EU-01,Line-4,Rejected,2022-02-14
BATCH-00028,7,BN-07-220114-28,2022-01-14,2022-02-02,2024-02-02,14513.0,L,SITE-EU-01,Line-4,Released,2022-02-06
BATCH-00029,8,BN-08-220102-29,2022-01-02,2022-01-26,2024-01-26,36931.0,L,SITE-EU-01,Line-2,Released,2022-01-30
BATCH-00030,1,BN-01-220106-30,2022-01-06,2022-02-01,2024-02-01,14033.0,kg,SITE-AP-01,Line-2,Released,2022-02-01
BATCH-00031,1,BN-01-220112-31,2022-01-12,2022-02-07,2024-02-07,42058.0,units,SITE-EU-01,Line-4,Released,2022-02-12
BATCH-00032,7,BN-07-220101-32,2022-01-01,2022-01-30,2024-01-30,31732.0,kg,SITE-US-01,Line-4,Released,2022-02-03
BATCH-00033,3,BN-03-220112-33,2022-01-12,2022-02-05,2024-02-05,16640.0,units,SITE-AP-01,Line-1,Released,2022-02-07
BATCH-00034,4,BN-04-220102-34,2022-01-02,2022-01-26,2024-01-26,40092.0,kg,SITE-US-01,Line-2,Released,2022-01-31
BATCH-00035,7,BN-07-220107-35,2022-01-07,2022-02-07,2024-02-07,28098.0,units,SITE-US-01,Line-1,Released,2022-02-10
BATCH-00036,7,BN-07-220106-36,2022-01-06,2022-01-20,2024-01-20,32375.0,L,SITE-US-01,Line-3,Released,2022-01-23
BATCH-00037,8,BN-08-220112-37,2022-01-12,2022-02-24,2024-02-24,26001.0,units,SITE-EU-01,Line-4,Released,2022-02-28
BATCH-00038,1,BN-01-220117-38,2022-01-17,2022-02-23,2024-02-23,31720.0,L,SITE-US-01,Line-3,Released,2022-02-28
BATCH-00039,4,BN-04-220103-39,2022-01-03,,,33827.0,L,SITE-US-01,Line-3,Rejected,2022-02-12
BATCH-00040,7,BN-07-220110-40,2022-01-10,2022-02-05,2024-02-05,39446.0,kg,SITE-AP-01,Line-4,Released,2022-02-10
BATCH-00041,7,BN-07-220105-41,2022-01-05,2022-01-20,2024-01-20,49886.0,L,SITE-EU-01,Line-4,Released,2022-01-23
BATCH-00042,7,BN-07-220102-42,2022-01-02,2022-01-28,2024-01-28,37102.0,units,SITE-EU-01,Line-4,Released,2022-02-02
BATCH-00043,6,BN-06-220110-43,2022-01-10,2022-02-03,2024-02-03,44442.0,kg,SITE-EU-01,Line-3,Released,2022-02-03
BATCH-00044,2,BN-02-220124-44,2022-01-24,2022-02-23,2024-02-23,30156.0,kg,SITE-EU-01,Line-3,Released,2022-02-28
BATCH-00045,2,BN-02-220112-45,2022-01-12,2022-02-09,2024-02-09,18819.0,L,SITE-US-01,Line-3,Released,2022-02-11
BATCH-00046,3,BN-03-220115-46,2022-01-15,2022-02-05,2024-02-05,43988.0,units,SITE-AP-01,Line-1,Released,2022-02-08
BATCH-00047,6,BN-06-220104-47,2022-01-04,2022-02-11,2024-02-11,23590.0,kg,SITE-US-01,Line-2,Released,2022-02-12
BATCH-00048,6,BN-06-220228-48,2022-02-28,2022-04-12,2024-04-11,43808.0,kg,SITE-EU-01,Line-1,Released,2022-04-15
BATCH-00049,7,BN-07-220205-49,2022-02-05,2022-03-11,2024-03-10,5212.0,L,SITE-EU-01,Line-2,Released,2022-03-12
BATCH-00050,8,BN-08-220205-50,2022-02-05,2022-03-22,2024-03-21,40089.0,kg,SITE-AP-01,Line-4,Released,2022-03-27
BATCH-00051,4,BN-04-220213-51,2022-02-13,2022-03-29,2024-03-28,6698.0,kg,SITE-EU-01,Line-3,Released,2022-03-29
BATCH-00052,8,BN-08-220226-52,2022-02-26,2022-03-24,2024-03-23,5186.0,units,SITE-EU-01,Line-2,Released,2022-03-25
BATCH-00053,3,BN-03-220209-53,2022-02-09,2022-03-03,2024-03-02,27650.0,L,SITE-AP-01,Line-2,Released,2022-03-03
BATCH-00054,3,BN-03-220209-54,2022-02-09,2022-03-24,2024-03-23,31837.0,L,SITE-US-01,Line-4,Released,2022-03-29
BATCH-00055,3,BN-03-220228-55,2022-02-28,2022-04-14,2024-04-13,13479.0,L,SITE-US-01,Line-1,Released,2022-04-15
BATCH-00056,7,BN-07-220204-56,2022-02-04,2022-03-03,2024-03-02,31536.0,kg,SITE-US-01,Line-1,Released,2022-03-05
BATCH-00057,7,BN-07-220225-57,2022-02-25,2022-03-13,2024-03-12,33814.0,units,SITE-AP-01,Line-1,Released,2022-03-17
BATCH-00058,7,BN-07-220203-58,2022-02-03,2022-02-18,2024-02-18,10211.0,L,SITE-US-01,Line-4,Released,2022-02-18
BATCH-00059,3,BN-03-220215-59,2022-02-15,2022-03-10,2024-03-09,35858.0,kg,SITE-AP-01,Line-3,Released,2022-03-13
BATCH-00060,1,BN-01-220221-60,2022-02-21,2022-03-24,2024-03-23,36533.0,L,SITE-AP-01,Line-1,Released,2022-03-28
BATCH-00061,6,BN-06-220203-61,2022-02-03,2022-03-07,2024-03-06,9782.0,kg,SITE-AP-01,Line-2,Released,2022-03-09
BATCH-00062,2,BN-02-220211-62,2022-02-11,2022-03-23,2024-03-22,6773.0,L,SITE-AP-01,Line-2,Released,2022-03-28
BATCH-00063,3,BN-03-220207-63,2022-02-07,2022-02-21,2024-02-21,9005.0,kg,SITE-EU-01,Line-4,Released,2022-02-22
BATCH-00064,8,BN-08-220216-64,2022-02-16,2022-03-06,2024-03-05,9558.0,L,SITE-US-01,Line-2,Released,2022-03-09
BATCH-00065,3,BN-03-220214-65,2022-02-14,2022-03-03,2024-03-02,12862.0,kg,SITE-EU-01,Line-3,Released,2022-03-05
BATCH-00066,3,BN-03-220213-66,2022-02-13,2022-03-06,2024-03-05,39119.0,kg,SITE-AP-01,Line-1,Released,2022-03-07
BATCH-00067,7,BN-07-220205-67,2022-02-05,2022-03-12,2024-03-11,24697.0,units,SITE-AP-01,Line-3,Released,2022-03-17
BATCH-00068,3,BN-03-220226-68,2022-02-26,2022-04-02,2024-04-01,23035.0,L,SITE-US-01,Line-3,Released,2022-04-05
BATCH-00069,8,BN-08-220215-69,2022-02-15,2022-03-27,2024-03-26,40861.0,kg,SITE-AP-01,Line-2,Released,2022-04-01
BATCH-00070,1,BN-01-220227-70,2022-02-27,2022-03-23,2024-03-22,46005.0,L,SITE-AP-01,Line-4,Released,2022-03-24
BATCH-00071,4,BN-04-220224-71,2022-02-24,2022-04-01,2024-03-31,43816.0,units,SITE-AP-01,Line-2,Released,2022-04-04
BATCH-00072,1,BN-01-220228-72,2022-02-28,2022-04-09,2024-04-08,7850.0,units,SITE-EU-01,Line-3,Released,2022-04-09
BATCH-00073,8,BN-08-220221-73,2022-02-21,2022-03-21,2024-03-20,35143.0,L,SITE-AP-01,Line-1,Released,2022-03-24
BATCH-00074,7,BN-07-220207-74,2022-02-07,2022-03-23,2024-03-22,35433.0,L,SITE-AP-01,Line-2,Released,2022-03-27
BATCH-00075,1,BN-01-220131-75,2022-01-31,2022-02-24,2024-02-24,26118.0,L,SITE-AP-01,Line-2,Released,2022-02-24
BATCH-00076,3,BN-03-220207-76,2022-02-07,,,7266.0,kg,SITE-EU-01,Line-4,Rejected,2022-03-17
BATCH-00077,1,BN-01-220214-77,2022-02-14,2022-03-28,2024-03-27,25164.0,L,SITE-US-01,Line-4,Released,2022-03-30
BATCH-00078,4,BN-04-220223-78,2022-02-23,2022-03-10,2024-03-09,23555.0,units,SITE-US-01,Line-1,Released,2022-03-10
BATCH-00079,6,BN-06-220220-79,2022-02-20,2022-03-25,2024-03-24,30305.0,units,SITE-AP-01,Line-4,Released,2022-03-27
BATCH-00080,8,BN-08-220201-80,2022-02-01,2022-03-01,2024-02-29,19939.0,units,SITE-EU-01,Line-4,Released,2022-03-06
BATCH-00081,3,BN-03-220222-81,2022-02-22,2022-04-05,2024-04-04,39169.0,kg,SITE-AP-01,Line-1,Released,2022-04-07
BATCH-00082,8,BN-08-220220-82,2022-02-20,2022-03-24,2024-03-23,21825.0,kg,SITE-EU-01,Line-1,Released,2022-03-25
BATCH-00083,2,BN-02-220226-83,2022-02-26,2022-04-07,2024-04-06,32488.0,kg,SITE-EU-01,Line-1,Released,2022-04-10
BATCH-00084,4,BN-04-220226-84,2022-02-26,2022-03-24,2024-03-23,9849.0,L,SITE-US-01,Line-1,Released,2022-03-29
BATCH-00085,6,BN-06-220203-85,2022-02-03,2022-03-17,2024-03-16,31519.0,units,SITE-AP-01,Line-2,Released,2022-03-20
BATCH-00086,6,BN-06-220223-86,2022-02-23,2022-03-12,2024-03-11,24476.0,units,SITE-US-01,Line-4,Released,2022-03-16
BATCH-00087,7,BN-07-220218-87,2022-02-18,2022-03-15,2024-03-14,10777.0,L,SITE-US-01,Line-3,Released,2022-03-19
BATCH-00088,4,BN-04-220219-88,2022-02-19,2022-03-20,2024-03-19,48362.0,L,SITE-EU-01,Line-4,Released,2022-03-21
BATCH-00089,4,BN-04-220219-89,2022-02-19,2022-03-24,2024-03-23,29651.0,L,SITE-US-01,Line-2,Released,2022-03-25
BATCH-00090,6,BN-06-220222-90,2022-02-22,2022-03-26,2024-03-25,46454.0,kg,SITE-US-01,Line-2,Released,2022-03-30
BATCH-00091,7,BN-07-220220-91,2022-02-20,2022-03-26,2024-03-25,39235.0,units,SITE-AP-01,Line-4,Released,2022-03-30
BATCH-00092,7,BN-07-220222-92,2022-02-22,2022-04-03,2024-04-02,45224.0,units,SITE-AP-01,Line-3,Released,2022-04-06
BATCH-00093,6,BN-06-220203-93,2022-02-03,2022-02-18,2024-02-18,7388.0,kg,SITE-US-01,Line-2,Released,2022-02-20
BATCH-00094,3,BN-03-220221-94,2022-02-21,2022-03-23,2024-03-22,7791.0,L,SITE-US-01,Line-2,Released,2022-03-27
BATCH-00095,3,BN-03-220226-95,2022-02-26,2022-04-09,2024-04-08,44062.0,units,SITE-US-01,Line-2,Released,2022-04-14
BATCH-00096,6,BN-06-220212-96,2022-02-12,2022-03-13,2024-03-12,40858.0,units,SITE-AP-01,Line-3,Released,2022-03-18
BATCH-00097,1,BN-01-220212-97,2022-02-12,2022-03-22,2024-03-21,40465.0,units,SITE-AP-01,Line-3,Released,2022-03-26
BATCH-00098,7,BN-07-220310-98,2022-03-10,2022-04-05,2024-04-04,40142.0,L,SITE-US-01,Line-2,Released,2022-04-10
BATCH-00099,7,BN-07-220322-00,2022-03-22,2022-04-28,2024-04-27,29598.0,units,SITE-AP-01,Line-2,Released,2022-05-03
BATCH-00100,3,BN-03-220316-01,2022-03-16,2022-04-10,2024-04-09,8351.0,kg,SITE-US-01,Line-1,Released,2022-04-13
BATCH-00101,4,BN-04-220310-02,2022-03-10,2022-04-09,2024-04-08,31279.0,L,SITE-US-01,Line-1,Released,2022-04-11
BATCH-00102,7,BN-07-220306-03,2022-03-06,2022-03-22,2024-03-21,19518.0,kg,SITE-EU-01,Line-3,Released,2022-03-25
BATCH-00103,6,BN-06-220313-04,2022-03-13,2022-03-31,2024-03-30,19304.0,kg,SITE-AP-01,Line-2,Released,2022-04-04
BATCH-00104,8,BN-08-220318-05,2022-03-18,2022-04-11,2024-04-10,29167.0,kg,SITE-US-01,Line-3,Released,2022-04-12
BATCH-00105,7,BN-07-220312-06,2022-03-12,2022-04-16,2024-04-15,14830.0,units,SITE-US-01,Line-4,Released,2022-04-20
BATCH-00106,1,BN-01-220305-07,2022-03-05,2022-04-10,2024-04-09,45702.0,units,SITE-AP-01,Line-2,Released,2022-04-10
BATCH-00107,3,BN-03-220314-08,2022-03-14,2022-04-04,2024-04-03,29311.0,L,SITE-AP-01,Line-1,Released,2022-04-08
BATCH-00108,6,BN-06-220327-09,2022-03-27,2022-05-08,2024-05-07,18340.0,units,SITE-EU-01,Line-2,Released,2022-05-10
BATCH-00109,1,BN-01-220305-10,2022-03-05,2022-03-29,2024-03-28,39799.0,units,SITE-AP-01,Line-1,Released,2022-04-03
BATCH-00110,2,BN-02-220323-11,2022-03-23,2022-04-19,2024-04-18,24089.0,kg,SITE-US-01,Line-2,Released,2022-04-23
BATCH-00111,7,BN-07-220326-12,2022-03-26,2022-05-06,2024-05-05,47289.0,units,SITE-AP-01,Line-2,Released,2022-05-06
BATCH-00112,7,BN-07-220312-13,2022-03-12,2022-03-28,2024-03-27,7442.0,L,SITE-EU-01,Line-1,Released,2022-04-01
BATCH-00113,3,BN-03-220315-14,2022-03-15,2022-04-22,2024-04-21,23200.0,L,SITE-US-01,Line-1,Released,2022-04-25
BATCH-00114,1,BN-01-220319-15,2022-03-19,2022-04-02,2024-04-01,32826.0,units,SITE-AP-01,Line-1,Released,2022-04-07
BATCH-00115,3,BN-03-220318-16,2022-03-18,2022-04-07,2024-04-06,35865.0,units,SITE-US-01,Line-1,Released,2022-04-09
BATCH-00116,4,BN-04-220314-17,2022-03-14,2022-03-29,2024-03-28,29006.0,kg,SITE-EU-01,Line-4,Released,2022-04-02
BATCH-00117,7,BN-07-220306-18,2022-03-06,2022-04-08,2024-04-07,46138.0,units,SITE-EU-01,Line-3,Released,2022-04-08
BATCH-00118,8,BN-08-220319-19,2022-03-19,2022-04-11,2024-04-10,5226.0,units,SITE-AP-01,Line-4,Released,2022-04-15
BATCH-00119,1,BN-01-220311-20,2022-03-11,2022-04-07,2024-04-06,45660.0,L,SITE-AP-01,Line-2,Released,2022-04-10
BATCH-00120,8,BN-08-220318-21,2022-03-18,2022-04-10,2024-04-09,14935.0,L,SITE-AP-01,Line-2,Released,2022-04-10
BATCH-00121,7,BN-07-220327-22,2022-03-27,2022-04-13,2024-04-12,46957.0,units,SITE-US-01,Line-4,Released,2022-04-18
BATCH-00122,1,BN-01-220311-23,2022-03-11,2022-03-29,2024-03-28,13884.0,units,SITE-AP-01,Line-4,Released,2022-03-31
BATCH-00123,2,BN-02-220323-24,2022-03-23,2022-04-21,2024-04-20,32878.0,kg,SITE-EU-01,Line-3,Released,2022-04-24
BATCH-00124,3,BN-03-220321-25,2022-03-21,2022-04-23,2024-04-22,11858.0,units,SITE-EU-01,Line-3,Released,2022-04-25
BATCH-00125,2,BN-02-220302-26,2022-03-02,2022-04-05,2024-04-04,14969.0,units,SITE-EU-01,Line-4,Released,2022-04-07
BATCH-00126,2,BN-02-220323-27,2022-03-23,2022-04-27,2024-04-26,25828.0,L,SITE-EU-01,Line-3,Released,2022-04-30
BATCH-00127,1,BN-01-220307-28,2022-03-07,2022-03-26,2024-03-25,43642.0,kg,SITE-AP-01,Line-2,Released,2022-03-28
BATCH-00128,7,BN-07-220304-29,2022-03-04,2022-03-22,2024-03-21,43231.0,units,SITE-AP-01,Line-1,Released,2022-03-26
BATCH-00129,4,BN-04-220326-30,2022-03-26,2022-04-22,2024-04-21,29822.0,units,SITE-AP-01,Line-4,Released,2022-04-27
BATCH-00130,3,BN-03-220314-31,2022-03-14,2022-04-11,2024-04-10,31532.0,L,SITE-US-01,Line-2,Released,2022-04-14
BATCH-00131,6,BN-06-220304-32,2022-03-04,2022-04-12,2024-04-11,5477.0,kg,SITE-AP-01,Line-2,Released,2022-04-16
BATCH-00132,4,BN-04-220307-33,2022-03-07,2022-04-01,2024-03-31,30462.0,kg,SITE-US-01,Line-4,Released,2022-04-03
BATCH-00133,2,BN-02-220326-34,2022-03-26,2022-05-10,2024-05-09,16896.0,kg,SITE-US-01,Line-1,Released,2022-05-15
BATCH-00134,6,BN-06-220327-35,2022-03-27,2022-05-03,2024-05-02,46306.0,kg,SITE-US-01,Line-1,Released,2022-05-08
BATCH-00135,1,BN-01-220324-36,2022-03-24,2022-04-24,2024-04-23,16849.0,units,SITE-EU-01,Line-2,Released,2022-04-27
BATCH-00136,4,BN-04-220313-37,2022-03-13,2022-03-31,2024-03-30,21935.0,kg,SITE-AP-01,Line-4,Released,2022-04-02
BATCH-00137,4,BN-04-220327-38,2022-03-27,2022-05-10,2024-05-09,5297.0,kg,SITE-EU-01,Line-4,Released,2022-05-11
BATCH-00138,1,BN-01-220318-39,2022-03-18,2022-04-18,2024-04-17,13411.0,L,SITE-US-01,Line-1,Released,2022-04-23
BATCH-00139,8,BN-08-220411-40,2022-04-11,2022-05-02,2024-05-01,26547.0,kg,SITE-EU-01,Line-2,Released,2022-05-07
BATCH-00140,1,BN-01-220408-41,2022-04-08,2022-04-24,2024-04-23,31656.0,kg,SITE-EU-01,Line-1,Released,2022-04-28
BATCH-00141,1,BN-01-220406-42,2022-04-06,2022-05-06,2024-05-05,28249.0,L,SITE-US-01,Line-1,Released,2022-05-11
BATCH-00142,7,BN-07-220427-43,2022-04-27,2022-05-29,2024-05-28,14747.0,units,SITE-AP-01,Line-4,Released,2022-06-01
BATCH-00143,2,BN-02-220427-44,2022-04-27,2022-06-06,2024-06-05,40758.0,kg,SITE-US-01,Line-3,Released,2022-06-07
BATCH-00144,7,BN-07-220411-45,2022-04-11,2022-05-24,2024-05-23,8098.0,L,SITE-AP-01,Line-4,Released,2022-05-25
BATCH-00145,1,BN-01-220407-46,2022-04-07,2022-05-17,2024-05-16,32248.0,kg,SITE-US-01,Line-4,Released,2022-05-21
BATCH-00146,1,BN-01-220429-47,2022-04-29,2022-05-20,2024-05-19,34673.0,units,SITE-AP-01,Line-1,Released,2022-05-25
BATCH-00147,4,BN-04-220417-48,2022-04-17,2022-05-27,2024-05-26,6955.0,units,SITE-AP-01,Line-4,Released,2022-05-28
BATCH-00148,8,BN-08-220425-49,2022-04-25,2022-06-02,2024-06-01,41208.0,units,SITE-EU-01,Line-1,Released,2022-06-05
BATCH-00149,3,BN-03-220416-50,2022-04-16,2022-05-14,2024-05-13,8772.0,units,SITE-US-01,Line-4,Released,2022-05-16
BATCH-00150,1,BN-01-220423-51,2022-04-23,2022-05-07,2024-05-06,10302.0,kg,SITE-US-01,Line-4,Released,2022-05-12
BATCH-00151,7,BN-07-220426-52,2022-04-26,2022-05-30,2024-05-29,9796.0,L,SITE-US-01,Line-3,Released,2022-06-01
BATCH-00152,4,BN-04-220419-53,2022-04-19,2022-05-26,2024-05-25,49631.0,L,SITE-AP-01,Line-2,Released,2022-05-29
BATCH-00153,8,BN-08-220418-54,2022-04-18,2022-06-01,2024-05-31,30159.0,L,SITE-AP-01,Line-3,Released,2022-06-03
BATCH-00154,3,BN-03-220425-55,2022-04-25,2022-06-03,2024-06-02,43475.0,units,SITE-AP-01,Line-1,Released,2022-06-08
BATCH-00155,4,BN-04-220426-56,2022-04-26,2022-05-20,2024-05-19,27875.0,L,SITE-US-01,Line-1,Released,2022-05-21
BATCH-00156,7,BN-07-220401-57,2022-04-01,2022-04-20,2024-04-19,26225.0,units,SITE-EU-01,Line-4,Released,2022-04-20
BATCH-00157,3,BN-03-220408-58,2022-04-08,2022-05-15,2024-05-14,6699.0,L,SITE-US-01,Line-4,Released,2022-05-19
BATCH-00158,6,BN-06-220410-59,2022-04-10,2022-04-27,2024-04-26,41910.0,units,SITE-AP-01,Line-4,Released,2022-04-30
BATCH-00159,2,BN-02-220428-60,2022-04-28,2022-05-30,2024-05-29,40278.0,units,SITE-US-01,Line-2,Released,2022-06-03
BATCH-00160,7,BN-07-220402-61,2022-04-02,2022-05-09,2024-05-08,5013.0,kg,SITE-US-01,Line-1,Released,2022-05-11
BATCH-00161,3,BN-03-220422-62,2022-04-22,2022-05-31,2024-05-30,14014.0,kg,SITE-EU-01,Line-1,Released,2022-05-31
BATCH-00162,3,BN-03-220424-63,2022-04-24,2022-05-30,2024-05-29,41698.0,kg,SITE-AP-01,Line-2,Released,2022-06-02
BATCH-00163,6,BN-06-220401-64,2022-04-01,2022-05-01,2024-04-30,27781.0,units,SITE-EU-01,Line-1,Released,2022-05-05
BATCH-00164,3,BN-03-220404-65,2022-04-04,2022-05-04,2024-05-03,41592.0,units,SITE-EU-01,Line-3,Released,2022-05-09
BATCH-00165,4,BN-04-220419-66,2022-04-19,2022-06-02,2024-06-01,39086.0,L,SITE-EU-01,Line-4,Released,2022-06-06
BATCH-00166,4,BN-04-220404-67,2022-04-04,2022-05-04,2024-05-03,33515.0,kg,SITE-US-01,Line-2,Released,2022-05-06
BATCH-00167,3,BN-03-220417-68,2022-04-17,2022-05-01,2024-04-30,16851.0,L,SITE-EU-01,Line-1,Released,2022-05-04
BATCH-00168,7,BN-07-220427-69,2022-04-27,2022-06-01,2024-05-31,46913.0,L,SITE-AP-01,Line-3,Released,2022-06-03
BATCH-00169,6,BN-06-220409-70,2022-04-09,2022-05-04,2024-05-03,35740.0,kg,SITE-US-01,Line-4,Released,2022-05-09
BATCH-00170,2,BN-02-220424-71,2022-04-24,2022-05-23,2024-05-22,14305.0,kg,SITE-US-01,Line-2,Released,2022-05-27
BATCH-00171,2,BN-02-220425-72,2022-04-25,2022-05-15,2024-05-14,8532.0,units,SITE-EU-01,Line-4,Released,2022-05-19
BATCH-00172,8,BN-08-220428-73,2022-04-28,2022-05-14,2024-05-13,21704.0,L,SITE-US-01,Line-4,Released,2022-05-18
BATCH-00173,4,BN-04-220406-74,2022-04-06,2022-05-07,2024-05-06,38758.0,kg,SITE-EU-01,Line-1,Released,2022-05-11
BATCH-00174,4,BN-04-220418-75,2022-04-18,2022-05-04,2024-05-03,22717.0,units,SITE-EU-01,Line-2,Released,2022-05-07
BATCH-00175,7,BN-07-220417-76,2022-04-17,2022-05-30,2024-05-29,5379.0,units,SITE-US-01,Line-2,Released,2022-06-02
BATCH-00176,1,BN-01-220411-77,2022-04-11,2022-05-18,2024-05-17,16687.0,units,SITE-AP-01,Line-3,Released,2022-05-19
BATCH-00177,4,BN-04-220420-78,2022-04-20,2022-05-25,2024-05-24,27445.0,kg,SITE-EU-01,Line-4,Released,2022-05-30
BATCH-00178,3,BN-03-220428-79,2022-04-28,2022-06-06,2024-06-05,13095.0,kg,SITE-EU-01,Line-2,Released,2022-06-06
BATCH-00179,3,BN-03-220426-80,2022-04-26,2022-05-25,2024-05-24,43534.0,kg,SITE-AP-01,Line-2,Released,2022-05-30
BATCH-00180,4,BN-04-220426-81,2022-04-26,2022-05-10,2024-05-09,27482.0,units,SITE-US-01,Line-3,Released,2022-05-13
BATCH-00181,3,BN-03-220418-82,2022-04-18,2022-05-05,2024-05-04,36074.0,kg,SITE-EU-01,Line-2,Released,2022-05-07
BATCH-00182,8,BN-08-220421-83,2022-04-21,2022-05-11,2024-05-10,20060.0,L,SITE-EU-01,Line-3,Released,2022-05-15
BATCH-00183,8,BN-08-220409-84,2022-04-09,2022-05-15,2024-05-14,10456.0,units,SITE-AP-01,Line-2,Released,2022-05-19
BATCH-00184,7,BN-07-220421-85,2022-04-21,2022-05-16,2024-05-15,17807.0,L,SITE-AP-01,Line-4,Released,2022-05-21
BATCH-00185,1,BN-01-220413-86,2022-04-13,2022-05-15,2024-05-14,48047.0,kg,SITE-EU-01,Line-3,Released,2022-05-18
BATCH-00186,1,BN-01-220506-87,2022-05-06,2022-06-10,2024-06-09,19260.0,L,SITE-US-01,Line-3,Released,2022-06-14
BATCH-00187,4,BN-04-220509-88,2022-05-09,2022-06-20,2024-06-19,47245.0,units,SITE-AP-01,Line-4,Released,2022-06-23
BATCH-00188,2,BN-02-220528-89,2022-05-28,2022-06-12,2024-06-11,15558.0,L,SITE-US-01,Line-1,Released,2022-06-13
BATCH-00189,4,BN-04-220504-90,2022-05-04,2022-05-24,2024-05-23,44541.0,units,SITE-US-01,Line-1,Released,2022-05-24
BATCH-00190,6,BN-06-220525-91,2022-05-25,2022-06-13,2024-06-12,32815.0,kg,SITE-EU-01,Line-4,Released,2022-06-15
BATCH-00191,2,BN-02-220524-92,2022-05-24,2022-06-25,2024-06-24,10689.0,units,SITE-US-01,Line-2,Released,2022-06-25
BATCH-00192,7,BN-07-220512-93,2022-05-12,2022-06-15,2024-06-14,26024.0,units,SITE-US-01,Line-3,Released,2022-06-19
BATCH-00193,2,BN-02-220523-94,2022-05-23,2022-06-17,2024-06-16,25544.0,units,SITE-EU-01,Line-4,Released,2022-06-21
