training_record_id,employee_id,doc_id,curriculum_id,training_type,delivery_method,assigned_date,due_date,completion_date,assessment_score,assessment_passed,attempt_number,trainer_id,status,waiver_reason
56,3,DOC-0033,,Refresher,eLearning,2022-04-12,2022-05-12,2022-05-14,93.7,True,1,48,Completed,
57,3,DOC-0029,,Refresher,Classroom,2023-06-05,2023-06-22,2023-06-14,81.4,True,1,69,Completed,
58,3,DOC-0085,,Change-Driven,eLearning,2024-05-07,2024-05-25,2024-05-24,76.0,False,2,26,Completed,
59,3,DOC-0038,,Remedial,Classroom,2023-04-14,2023-05-12,2023-05-07,89.6,True,1,110,Completed,
60,3,DOC-0054,,Refresher,eLearning,2024-10-09,2024-10-22,2024-10-22,94.9,True,1,4,Completed,
61,3,DOC-0085,,Refresher,Classroom,2024-08-01,2024-08-23,2024-08-17,70.1,False,2,32,Completed,
62,3,DOC-0021,,Initial,eLearning,2024-04-16,2024-05-12,2024-05-08,94.9,True,1,94,Completed,
63,3,DOC-0056,,Change-Driven,eLearning,2023-11-22,2023-12-16,2023-11-23,92.9,True,1,8,Completed,
64,3,DOC-0047,,Initial,Read-and-Understand,2022-03-07,2022-04-02,2022-03-16,82.0,True,1,7,Completed,
65,3,DOC-0059,,Refresher,Read-and-Understand,2023-02-08,2023-02-23,2023-02-28,92.8,True,1,58,Completed,
66,3,DOC-0030,,Change-Driven,eLearning,2024-09-30,2024-10-11,2024-10-11,78.1,False,2,81,Completed,
67,3,DOC-0088,,Initial,Classroom,2022-01-10,2022-01-24,2022-01-11,71.9,False,2,45,Completed,
68,3,DOC-0015,,Initial,OJT,2023-12-27,2024-01-04,2024-01-08,90.9,True,1,3,Completed,
69,3,DOC-0085,,Change-Driven,eLearning,2023-01-14,2023-02-07,2023-01-21,80.3,True,1,60,Completed,
70,3,DOC-0077,,Change-Driven,Classroom,2023-06-27,2023-07-25,2023-07-12,94.7,True,1,107,Completed,
71,3,DOC-0098,,Initial,eLearning,2023-11-09,2023-11-22,2023-11-13,73.4,False,2,4,Completed,
72,3,DOC-0036,,Initial,Classroom,2022-12-08,2022-12-27,2022-12-23,94.5,True,1,87,Completed,
73,3,DOC-0049,,Refresher,Classroom,2023-01-11,2023-02-08,2023-01-15,85.7,True,1,71,Completed,
74,3,DOC-0092,,Change-Driven,OJT,2023-12-18,2024-01-05,2023-12-21,77.8,False,2,103,Completed,
75,3,DOC-0078,,Refresher,OJT,2022-06-15,2022-07-10,2022-06-19,72.4,False,2,45,Completed,
76,3,DOC-0046,,Remedial,Classroom,2023-10-03,2023-10-31,2023-11-02,91.0,True,1,61,Completed,
77,4,DOC-0070,,Refresher,OJT,2022-08-09,2022-08-29,2022-08-17,83.3,True,1,18,Completed,
78,4,DOC-0012,,Change-Driven,Read-and-Understand,2023-10-13,2023-11-04,2023-10-27,91.6,True,1,98,Completed,
79,4,DOC-0055,,Initial,eLearning,2023-06-12,2023-06-22,2023-06-19,70.9,False,2,101,Completed,
80,4,DOC-0084,,Initial,Classroom,2024-06-24,2024-07-13,2024-07-13,88.6,True,1,11,Completed,
81,4,DOC-0078,,Refresher,OJT,2024-06-02,2024-06-16,2024-06-10,97.7,True,1,56,Completed,
82,4,DOC-0096,,Change-Driven,Read-and-Understand,2024-10-08,2024-10-16,2024-10-09,91.4,True,1,70,Completed,
83,4,DOC-0019,,Refresher,eLearning,2022-09-14,2022-10-12,2022-10-11,83.2,True,1,23,Completed,
84,4,DOC-0098,,Refresher,eLearning,2023-03-17,2023-04-01,2023-04-03,97.6,True,1,65,Completed,
85,4,DOC-0045,,Refresher,Read-and-Understand,2022-07-05,2022-08-02,2022-07-15,71.7,False,2,52,Completed,
86,4,DOC-0039,,Change-Driven,eLearning,2024-01-21,2024-01-29,2024-01-24,86.6,True,1,32,Completed,
87,4,DOC-0033,,Refresher,Classroom,2022-09-29,2022-10-21,2022-10-11,83.2,True,1,9,Completed,
88,4,DOC-0015,,Initial,eLearning,2023-11-10,2023-11-26,2023-11-20,88.9,True,1,109,Completed,
89,4,DOC-0091,,Refresher,OJT,2023-02-20,2023-03-19,2023-03-20,96.5,True,1,11,Completed,
90,4,DOC-0005,,Refresher,eLearning,2022-11-18,2022-12-16,,,,1,83,Overdue,
91,4,DOC-0014,,Remedial,OJT,2023-10-19,2023-10-26,2023-10-30,87.5,True,1,78,Completed,
92,4,DOC-0017,,Initial,eLearning,2024-03-09,2024-03-26,2024-03-24,76.4,False,2,55,Completed,
93,4,DOC-0019,,Change-Driven,eLearning,2022-06-20,2022-07-20,2022-07-23,84.7,True,1,13,Completed,
94,4,DOC-0076,,Refresher,Read-and-Understand,2023-05-20,2023-06-08,2023-05-23,93.6,True,1,56,Completed,
95,4,DOC-0100,,Refresher,Classroom,2024-09-18,2024-09-28,2024-09-24,74.1,False,2,1,Completed,
96,4,DOC-0057,,Initial,Read-and-Understand,2023-08-22,2023-09-09,2023-09-11,95.2,True,1,8,Completed,
97,5,DOC-0036,,Change-Driven,eLearning,2023-10-13,2023-10-21,2023-10-16,70.2,False,2,104,Completed,
98,5,DOC-0067,,Initial,OJT,2023-05-15,2023-06-08,2023-06-04,71.0,False,2,82,Completed,
99,5,DOC-0045,,Change-Driven,eLearning,2022-04-24,2022-05-06,2022-05-11,82.0,True,1,84,Completed,
100,5,DOC-0100,,Refresher,Classroom,2022-04-08,2022-04-23,2022-04-15,78.2,False,2,45,Completed,
101,5,DOC-0039,,Refresher,Classroom,2022-05-21,2022-06-14,2022-05-26,77.2,False,2,6,Completed,
102,5,DOC-0010,,Initial,Read-and-Understand,2023-05-14,2023-06-07,2023-05-29,75.2,False,2,13,Completed,
103,5,DOC-0032,,Initial,eLearning,2023-05-16,2023-05-31,2023-05-20,86.4,True,1,31,Completed,
104,5,DOC-0069,,Refresher,eLearning,2022-12-13,2022-12-31,2022-12-19,70.9,False,2,94,Completed,
105,5,DOC-0010,,Initial,Read-and-Understand,2024-03-03,2024-03-26,2024-03-28,89.1,True,1,31,Completed,
106,5,DOC-0069,,Change-Driven,Classroom,2022-06-26,2022-07-23,2022-07-27,99.7,True,1,60,Completed,
107,5,DOC-0096,,Refresher,eLearning,2024-11-11,2024-12-06,2024-12-02,84.6,True,1,3,Completed,
108,5,DOC-0046,,Initial,Classroom,2022-09-23,2022-10-02,2022-10-05,73.0,False,2,2,Completed,
109,5,DOC-0059,,Change-Driven,Read-and-Understand,2022-08-22,2022-09-11,2022-09-09,81.0,True,1,86,Completed,
110,5,DOC-0069,,Refresher,Read-and-Understand,2023-10-19,2023-10-29,2023-10-27,70.2,False,2,113,Completed,
111,5,DOC-0100,,Initial,eLearning,2022-06-14,2022-07-10,2022-07-05,79.1,False,2,78,Completed,
112,5,DOC-0061,,Initial,eLearning,2022-10-18,2022-11-13,2022-10-29,81.7,True,1,55,Completed,
113,5,DOC-0064,,Refresher,Classroom,2022-06-10,2022-06-24,2022-06-14,90.6,True,1,97,Completed,
114,5,DOC-0019,,Change-Driven,Read-and-Understand,2024-05-21,2024-06-04,2024-06-03,73.2,False,2,49,Completed,
115,5,DOC-0100,,Refresher,Classroom,2024-06-21,2024-07-15,2024-06-22,81.2,True,1,26,Completed,
116,5,DOC-0070,,Initial,eLearning,2024-12-10,2025-01-01,2025-01-06,99.8,True,1,88,Completed,
117,5,DOC-0084,,Change-Driven,Read-and-Understand,2023-08-15,2023-09-12,2023-08-20,79.1,False,2,23,Completed,
118,5,DOC-0064,,Refresher,eLearning,2024-05-18,2024-05-31,2024-05-19,78.9,False,2,59,Completed,
119,5,DOC-0054,,Initial,eLearning,2022-07-18,2022-08-15,2022-07-25,81.2,True,1,77,Completed,
120,6,DOC-0069,,Initial,eLearning,2024-05-13,2024-05-26,2024-05-27,77.9,False,2,41,Completed,
121,6,DOC-0049,,Initial,Classroom,2024-03-04,2024-03-29,2024-03-20,97.8,True,1,100,Completed,
122,6,DOC-0030,,Refresher,Classroom,2022-01-07,2022-01-14,2022-01-11,84.6,True,1,52,Completed,
123,6,DOC-0094,,Initial,OJT,2023-04-10,2023-05-09,2023-05-03,87.3,True,1,100,Completed,
124,6,DOC-0091,,Refresher,Classroom,2022-08-21,2022-09-18,2022-09-21,98.1,True,1,36,Completed,
125,6,DOC-0009,,Initial,Classroom,2022-03-31,2022-04-15,2022-04-05,87.4,True,1,17,Completed,
126,6,DOC-0066,,Initial,eLearning,2022-11-18,2022-12-03,2022-12-05,75.8,False,2,90,Completed,
127,6,DOC-0075,,Refresher,Classroom,2024-03-31,2024-04-27,2024-05-01,80.0,True,1,102,Completed,
128,6,DOC-0094,,Refresher,Classroom,2024-12-02,2024-12-29,2025-01-02,96.8,True,1,77,Completed,
129,6,DOC-0008,,Initial,eLearning,2023-10-09,2023-10-21,2023-10-14,73.2,False,2,110,Completed,
130,6,DOC-0053,,Refresher,Read-and-Understand,2023-11-19,2023-12-09,2023-12-13,72.8,False,2,115,Completed,
131,6,DOC-0002,,Change-Driven,Read-and-Understand,2024-06-05,2024-06-14,2024-06-16,94.0,True,1,41,Completed,
132,6,DOC-0053,,Initial,eLearning,2023-05-14,2023-05-24,,,,1,77,Overdue,
133,6,DOC-0060,,Change-Driven,eLearning,2024-01-21,2024-02-08,2024-01-27,92.3,True,1,77,Completed,
134,6,DOC-0040,,Initial,Read-and-Understand,2024-04-20,2024-05-03,2024-05-08,85.2,True,1,28,Completed,
135,6,DOC-0068,,Initial,eLearning,2022-04-20,2022-05-09,2022-04-26,90.9,True,1,106,Completed,
136,6,DOC-0002,,Change-Driven,Read-and-Understand,2024-10-20,2024-10-29,2024-10-28,80.4,True,1,15,Completed,
137,6,DOC-0050,,Initial,Classroom,2023-03-31,2023-04-29,2023-04-08,94.1,True,1,111,Completed,
138,6,DOC-0068,,Refresher,eLearning,2023-11-06,2023-11-21,2023-11-08,79.3,False,2,61,Completed,
139,6,DOC-0087,,Change-Driven,Classroom,2022-12-01,2022-12-27,2022-12-11,81.1,True,1,44,Completed,
140,6,DOC-0089,,Change-Driven,eLearning,2024-05-12,2024-05-26,2024-05-31,86.4,True,1,109,Completed,
141,6,DOC-0036,,Change-Driven,Read-and-Understand,2023-03-23,2023-04-18,2023-03-28,97.3,True,1,14,Completed,
142,6,DOC-0057,,Refresher,Read-and-Understand,2023-07-12,2023-07-21,2023-07-24,92.2,True,1,9,Completed,
143,6,DOC-0081,,Initial,Read-and-Understand,2023-06-05,2023-06-27,2023-06-11,97.1,True,1,24,Completed,
144,6,DOC-0091,,Refresher,Classroom,2023-01-20,2023-02-08,2023-01-24,90.9,True,1,34,Completed,
145,6,DOC-0046,,Initial,eLearning,2023-06-13,2023-06-23,2023-06-25,93.2,True,1,41,Completed,
146,6,DOC-0050,,Change-Driven,Classroom,2023-03-22,2023-03-30,2023-03-23,96.8,True,1,67,Completed,
147,7,DOC-0100,,Change-Driven,Classroom,2022-04-05,2022-05-02,2022-04-25,80.9,True,1,18,Completed,
148,7,DOC-0081,,Refresher,Classroom,2023-07-23,2023-08-22,2023-08-04,91.1,True,1,115,Completed,
149,7,DOC-0025,,Refresher,eLearning,2023-11-05,2023-12-02,2023-11-11,82.6,True,1,27,Completed,
150,7,DOC-0028,,Refresher,eLearning,2024-08-21,2024-09-03,2024-09-05,70.9,False,2,85,Completed,
151,7,DOC-0029,,Refresher,Classroom,2023-08-25,2023-09-01,2023-08-28,79.2,False,2,95,Completed,
152,7,DOC-0035,,Initial,Read-and-Understand,2022-07-12,2022-08-10,2022-07-27,94.3,True,1,32,Completed,
153,7,DOC-0024,,Refresher,Classroom,2023-04-26,2023-05-16,2023-04-27,72.8,False,2,40,Completed,
154,7,DOC-0038,,Remedial,eLearning,2023-07-04,2023-07-16,2023-07-13,74.7,False,2,89,Completed,
155,7,DOC-0036,,Refresher,Read-and-Understand,2023-05-17,2023-06-04,2023-06-06,79.2,False,2,12,Completed,
156,7,DOC-0016,,Initial,Classroom,2024-11-20,2024-12-10,2024-12-01,82.5,True,1,74,Completed,
157,7,DOC-0037,,Refresher,eLearning,2022-07-31,2022-08-16,2022-08-07,88.6,True,1,25,Completed,
158,7,DOC-0060,,Change-Driven,OJT,2022-03-21,2022-04-07,2022-04-11,74.0,False,2,88,Completed,
159,7,DOC-0082,,Initial,OJT,2022-04-25,2022-05-18,2022-05-01,81.6,True,1,100,Completed,
160,7,DOC-0010,,Initial,Read-and-Understand,2022-02-25,2022-03-24,2022-03-22,79.6,False,2,76,Completed,
161,7,DOC-0023,,Change-Driven,Classroom,2022-03-14,2022-04-10,2022-03-30,84.4,True,1,85,Completed,
162,7,DOC-0055,,Refresher,Classroom,2022-12-21,2023-01-02,2022-12-29,77.0,False,2,12,Completed,
163,7,DOC-0009,,Initial,Read-and-Understand,2023-01-28,2023-02-23,2023-02-24,88.6,True,1,17,Completed,
164,7,DOC-0036,,Refresher,eLearning,2022-11-01,2022-11-17,2022-11-15,90.2,True,1,53,Completed,
165,7,DOC-0025,,Remedial,eLearning,2023-02-17,2023-03-05,2023-03-07,88.1,True,1,61,Completed,
166,7,DOC-0048,,Initial,eLearning,2022-07-29,2022-08-28,2022-08-26,97.1,True,1,56,Completed,
167,7,DOC-0100,,Initial,OJT,2024-01-12,2024-01-28,2024-01-20,91.8,True,1,18,Completed,
168,7,DOC-0071,,Change-Driven,eLearning,2023-11-07,2023-11-24,2023-11-16,76.1,False,2,111,Completed,
169,7,DOC-0045,,Remedial,Classroom,2022-12-01,2022-12-25,2022-12-18,94.2,True,1,113,Completed,
170,7,DOC-0062,,Initial,Classroom,2022-01-17,2022-01-31,2022-01-31,78.5,False,2,108,Completed,
171,7,DOC-0061,,Refresher,eLearning,2024-04-09,2024-04-26,2024-04-24,73.7,False,2,5,Completed,
172,8,DOC-0076,,Initial,eLearning,2023-11-28,2023-12-13,2023-12-15,98.5,True,1,37,Completed,
173,8,DOC-0095,,Refresher,Classroom,2024-04-03,2024-05-01,2024-05-01,82.9,True,1,34,Completed,
174,8,DOC-0059,,Change-Driven,eLearning,2022-02-03,2022-02-23,2022-02-18,91.0,True,1,111,Completed,
175,8,DOC-0056,,Initial,eLearning,2022-04-16,2022-04-25,2022-04-26,83.2,True,1,98,Completed,
176,8,DOC-0028,,Refresher,Read-and-Understand,2024-12-08,2024-12-23,2024-12-23,73.1,False,2,54,Completed,
177,8,DOC-0056,,Refresher,OJT,2023-10-30,2023-11-06,2023-11-01,86.3,True,1,88,Completed,
178,8,DOC-0013,,Change-Driven,eLearning,2024-02-27,2024-03-20,2024-03-07,86.9,True,1,37,Completed,
179,8,DOC-0089,,Refresher,eLearning,2023-03-01,2023-03-19,2023-03-22,99.5,True,1,114,Completed,
180,8,DOC-0036,,Change-Driven,Read-and-Understand,2023-10-26,2023-11-02,2023-11-02,82.3,True,1,30,Completed,
181,8,DOC-0063,,Change-Driven,Classroom,2023-12-04,2023-12-20,2023-12-13,97.0,True,1,61,Completed,
182,8,DOC-0090,,Initial,eLearning,2022-12-10,2022-12-27,2022-12-14,79.0,False,2,8,Completed,
183,8,DOC-0088,,Refresher,eLearning,2023-05-08,2023-06-01,2023-05-31,100.0,True,1,49,Completed,
184,8,DOC-0039,,Refresher,eLearning,2024-11-19,2024-11-28,2024-12-02,92.7,True,1,32,Completed,
185,8,DOC-0098,,Refresher,eLearning,2024-04-13,2024-05-07,2024-05-05,81.6,True,1,3,Completed,
186,8,DOC-0093,,Refresher,Classroom,2022-06-23,2022-06-30,2022-06-26,83.2,True,1,11,Completed,
187,8,DOC-0079,,Change-Driven,eLearning,2023-03-03,2023-03-10,2023-03-14,97.6,True,1,112,Completed,
188,8,DOC-0091,,Initial,eLearning,2024-09-29,2024-10-20,2024-10-12,92.8,True,1,42,Completed,
189,8,DOC-0054,,Initial,Read-and-Understand,2022-10-28,2022-11-05,2022-11-09,82.7,True,1,28,Completed,
190,8,DOC-0081,,Change-Driven,eLearning,2023-06-13,2023-07-02,2023-07-03,81.3,True,1,14,Completed,
191,8,DOC-0069,,Refresher,Classroom,2022-05-28,2022-06-25,2022-06-10,76.7,False,2,62,Completed,
192,8,DOC-0092,,Refresher,Read-and-Understand,2022-04-08,2022-04-29,2022-04-12,96.6,True,1,60,Completed,
193,8,DOC-0060,,Remedial,Classroom,2024-05-26,2024-06-07,2024-05-31,81.6,True,1,41,Completed,
194,8,DOC-0090,,Refresher,Read-and-Understand,2022-03-26,2022-04-18,2022-04-13,97.4,True,1,34,Completed,
195,8,DOC-0064,,Remedial,Read-and-Understand,2024-02-06,2024-03-03,2024-02-16,89.5,True,1,92,Completed,
196,8,DOC-0043,,Refresher,eLearning,2022-10-11,2022-11-05,2022-10-18,83.4,True,1,106,Completed,
197,8,DOC-0004,,Initial,eLearning,2023-05-07,2023-05-29,2023-05-21,86.7,True,1,20,Completed,
198,8,DOC-0003,,Refresher,eLearning,2024-09-10,2024-09-30,2024-09-13,79.2,False,2,12,Completed,
199,8,DOC-0010,,Initial,Classroom,2023-10-12,2023-11-03,2023-11-02,93.3,True,1,101,Completed,
200,8,DOC-0005,,Refresher,eLearning,2022-04-06,2022-05-01,2022-04-30,71.0,False,2,93,Completed,
201,8,DOC-0065,,Refresher,OJT,2022-11-04,2022-11-18,2022-11-13,80.3,True,1,43,Completed,
202,8,DOC-0084,,Change-Driven,eLearning,2024-05-15,2024-06-02,2024-05-21,97.4,True,1,53,Completed,
203,8,DOC-0056,,Initial,Classroom,2022-03-07,2022-04-03,2022-03-08,95.9,True,1,110,Completed,
204,8,DOC-0074,,Refresher,Read-and-Understand,2022-06-11,2022-06-20,2022-06-15,94.4,True,1,47,Completed,
205,9,DOC-0010,,Refresher,eLearning,2022-06-11,2022-07-07,2022-07-01,85.1,True,1,41,Completed,
206,9,DOC-0011,,Initial,OJT,2022-06-27,2022-07-21,2022-07-26,79.5,False,2,101,Completed,
207,9,DOC-0036,,Refresher,OJT,2024-04-02,2024-04-22,2024-04-26,79.2,False,2,66,Completed,
208,9,DOC-0083,,Refresher,Classroom,2024-04-16,2024-05-09,2024-04-17,78.4,False,2,52,Completed,
209,9,DOC-0086,,Change-Driven,Read-and-Understand,2024-02-25,2024-03-20,2024-03-19,88.4,True,1,48,Completed,
210,9,DOC-0052,,Refresher,eLearning,2023-12-04,2023-12-30,2023-12-05,85.8,True,1,22,Completed,
211,9,DOC-0090,,Initial,Classroom,2023-04-22,2023-05-21,2023-05-04,87.2,True,1,37,Completed,
212,9,DOC-0003,,Refresher,OJT,2023-10-09,2023-10-24,2023-10-17,88.7,True,1,9,Completed,
213,9,DOC-0033,,Refresher,eLearning,2022-04-23,2022-05-11,2022-04-26,86.0,True,1,40,Completed,
214,9,DOC-0058,,Change-Driven,Classroom,2023-05-14,2023-05-27,2023-05-17,77.6,False,2,22,Completed,
215,9,DOC-0034,,Refresher,eLearning,2024-07-21,2024-08-06,2024-07-26,70.1,False,2,14,Completed,
216,9,DOC-0003,,Initial,eLearning,2022-12-07,2023-01-06,2023-01-09,84.4,True,1,11,Completed,
217,9,DOC-0069,,Initial,eLearning,2024-04-12,2024-05-02,2024-04-28,84.4,True,1,27,Completed,
218,9,DOC-0047,,Refresher,eLearning,2022-06-06,2022-06-29,2022-06-07,74.2,False,2,116,Completed,
219,9,DOC-0054,,Refresher,Classroom,2023-10-14,2023-11-07,2023-10-26,76.3,False,2,69,Completed,
220,9,DOC-0047,,Refresher,Classroom,2022-12-10,2023-01-08,2022-12-31,80.3,True,1,104,Completed,
221,9,DOC-0074,,Remedial,Classroom,2024-12-06,2024-12-22,2024-12-09,97.5,True,1,49,Completed,
222,9,DOC-0043,,Refresher,Read-and-Understand,2024-01-10,2024-02-02,2024-02-07,73.3,False,2,23,Completed,
223,9,DOC-0028,,Remedial,eLearning,2023-02-25,2023-03-07,2023-03-02,86.0,True,1,115,Completed,
224,9,DOC-0092,,Initial,eLearning,2022-03-26,2022-04-25,2022-04-08,98.8,True,1,50,Completed,
225,9,DOC-0025,,Initial,Read-and-Understand,2023-06-15,2023-06-26,2023-06-21,79.4,False,2,113,Completed,
226,9,DOC-0048,,Change-Driven,eLearning,2024-08-06,2024-09-05,2024-08-10,95.2,True,1,9,Completed,
227,9,DOC-0066,,Remedial,eLearning,2023-10-06,2023-10-17,2023-10-13,78.9,False,2,52,Completed,
228,9,DOC-0012,,Change-Driven,OJT,2023-02-07,2023-02-21,2023-02-19,80.9,True,1,42,Completed,
229,9,DOC-0029,,Refresher,Classroom,2022-03-21,2022-04-03,2022-03-31,78.9,False,2,86,Completed,
230,9,DOC-0092,,Refresher,eLearning,2022-07-24,2022-08-01,2022-08-05,82.2,True,1,99,Completed,
231,9,DOC-0041,,Change-Driven,eLearning,2023-10-17,2023-11-07,2023-11-09,83.0,True,1,114,Completed,
232,9,DOC-0039,,Initial,Classroom,2022-09-03,2022-09-27,2022-09-09,87.9,True,1,79,Completed,
233,10,DOC-0035,,Remedial,OJT,2023-11-30,2023-12-11,2023-12-10,90.5,True,1,103,Completed,
234,10,DOC-0014,,Remedial,Read-and-Understand,2022-02-16,2022-03-08,,,,1,83,Overdue,
235,10,DOC-0049,,Refresher,eLearning,2022-07-11,2022-07-18,2022-07-23,91.8,True,1,33,Completed,
